1,,,ネッシーは生きている！,本文
2,,,"去年の小学校の遠足で恐竜博物館に行った日から、ぼくは恐竜が大好きになった。あの巨大な生き物の姿を想像すると胸がときめく。
六千五百万年前に絶めつしてしまったから、二度と出会えないけれど、恐竜と同じ時代に生きていた、ある巨大爬虫類になら、ひょっとしたら会えるかもしれない。そう信じている。
その生き物の名前は、ネッシー。イギリス、スコットランドのネス湖に生息するとされている、くびなが竜だ。",本文
3,,,"ネッシー目撃の歴史はとても古い。五六五年に聖人コロンバがネッシーを追いはらったという記録に始まり、その後の記録や文書にも、ネッシーのことはたびたび書かれている。ただし、これらは伝説でしかない。
でも、ネッシーが“現実の存在”として知られるようになるきっかけがあった。それが一九三三年のことだ。
この年、ネス湖の国道が開通した。この湖のそばでホテルを経営していたマッケイ夫妻は、開通したての国道をドライブ中、ネス湖で長い首をくねらせて泳ぐかいじゅうを目撃。この話が新聞で報道されたことで、ネッシーが広く知られるようになった。うわさのネッシーをひと目見ようと多くの人がネス湖を訪れ出し、目撃者が急増したのだ。
その後、ネッシーの姿を撮影しようとする人々も現れ始めた。その結果、湖面に背のこぶを出して泳ぐネッシーや、首をもたげるネッシーなど、衝撃の写真がとられるようになったのだ。
",本文
4,,,"
ぼくがネッシーは本当にいると信じるようになったのは、こうした写真の数々が、本物かにせ物か、しっかり調べられているためだった。ただ面白がったりびっくりしたりするだけではなく、きちんと検証し、その結果、写真の多くがにせ物と断定されているのだ。逆に言えば、にせ物と判断できない写真は、本物の可能性が高いということだ。
しかも、ネッシーについては、さまざまな角度から、調査も行われている。これもぼくがネッシーの存在を信じるようになった理由の一つだ。
例えば、ネッシーは体長十メートルから二十メートルとされる。それほどの巨体なら、大量の食料が必要だが、ネス湖は魚が種類、量とも豊富である。つまり、ネッシーが生きていけるという根拠があるのだ。",本文
5,,,"
また、一九七〇年にアメリカの調査隊がネス湖を音波で調査したところ、ネッシーがかくれられるくらいの広さの洞窟があることもわかっている。ならば、ふだん人前に姿を現さないことも納得できるだろう。
それだけではない。ネス湖では、多くの研究団体が、音波とダイバーによる、大規模で科学的な調査をおこなっている。あるときには、水中カメラによって、ネッシーの頭部やひれらしきものの写真までさつえいされているのだ！もちろん、こうした調査にはたいへんなお金がかかる。
単なるうわさの確認程度では、こんなことは物好きでもしないだろう。",本文
6,,,"ぼくもネス湖を訪れて、この目でネッシーを見てみたいが、まだ小学六年生だ。親にたのんでも、さすがにイギリスに行くのは難しい。
でも、時代がよかった。なぜなら、現在、ネス湖周辺には、二十四時間態勢で監視するビデオカメラが設置されているのだ。このカメラで湖に起こる変化を録画し、ネッシーの出現をとらえようとしている。",本文
7,,,"そして、カメラによっては、インターネットで中継されているものもある。つまり、日本にいながら、自分の部屋にいながら、ネッシーの出現のまさにそのしゅん間をインターネットで見ることもできるのだ！
だからぼくは、おとうさんがいないとき、こっそりパソコンでインターネットにアクセスして、ネス湖の湖面の様子を見ている。見ているときに、ネッシーがあらわれたらいいな。そう期待していた、まさにそのとき！
「ネッシーじゃないか！？」
ぼくは興奮の声を上げた。何かが、湖面に長い首を出したのだ。心臓が高鳴る！呼吸も忘れる！手足がふるえる！落ち着け、落ち着けと自分に言い聞かせ、パソコンの画面を食い入るように見つめた。だが！",本文
8,,,"とつ然、パソコンがフリーズした…・・・・・。あわてて再起動させ、パソコンが立ち上がるとすぐに、ネス湖のライブカメラにアクセスしたが、そこは波一つない静かな湖面。あのネッシーは、姿を消したのだ！
それから、ぼくが見たネッシーを、同じく世界各地から、ライブカメラで見ていた人がいないか調べたけれど、そうした報告をしている人は、どういうわけか、いないようだった。
そんなはずはない。確かに見た・・・・・・ネッシーは、まちがいなく、いる！",本文
1,,,"ネッシーはどこに生息するとされていますか。
イギリス、スコットランドの四角。",問題
2,,,"1933年に何がありましたか。
マッケイ夫妻が、ネス湖で、四角をくねらせて
泳ぐ四角を目撃し、その話が新聞で、四角された。",問題
3,,,"「ぼく」がネッシーは本当にいると信じるようになったのは、なぜですか。合うほうに丸をつけましょう。
ア。数々のネッシーの写真が、本物かどうかしっかり調べられているから。
イ。ネッシーの姿をとらえた数々の写真がとられているから。",問題
4,,,"ネッシーが生きていけるという根拠はどんなことですか。
ネス湖は四角が種類、量とも四角であること。",問題
5,,,"水中カメラによって、何の写真がさつえいされていますか。合うほうに丸をつけましょう。
ア。ネス湖にある大きな洞窟
イ。ネッシーの頭部やひれらしきもの。",問題
6,,,"「ぼく」は、ネッシーの出現のまさにそのしゅん間を、どのようにして見ることができると言っていますか。
ネス湖を四角で監視するビデオカメラの映像を、四角での中継で見ることによって。",問題
7,,,ぼくの興奮を、体のどんな様子で表していますか？,
8,,,僕が、ネッシーは間違いなくいる。と言っているのはなぜですか？四角、でネス湖の様子を見ていた時、四角、のを見たから。,
