1,,,牛の首,本文
2,,,"江戸時代からある有名な怪談。
話の内容を知る人はごくわずか。
こわすぎて気を失う人もいる。",本文
3,,,"内容が不明のおそろしすぎる怪談。
キミは「牛の首」という怪談を知っているだろうか。江戸時代から存在する、かなりこわい怪談だという。ただし、話のくわしい内容を知っている人がほとんどいないという不思議な怪談なのだ。
ある遠足の日、バスの中で先生が子ともたちに「牛の首」を話しはじめたという。話を聞くうちにこわくなった子どもたちはやめるようお願いしたが、先生は止まらなかった。まるで何かにとりつかれたようにバスが急停止するまでしゃべりつづけた。子どもたちは全員気を失っており、運転手もぶるぶると震えていたそうだ。
結局、先生が話した内容は不明のままだが、気を失うほどおそろしい話であることはまちがいないようだ。",本文
4,,,"
逃げるにはどうする？耳をふさぐしかない。
「牛の首」を知っている人が少ないため、どんな話なのか気になるかもしれないが、知ることはおすすめはしない。
もし話を聞くことになっても、耳をふさいで聞かないようにして自分を守ろう。",本文
5,,,"目撃情報
「牛の首」は、インターネットなどを通じで現在もウワサが深まりつづけている。
ただし、どんな内容なのかを語る人はいないようだ。",本文
1,,,「牛の首」は、いつの時代からあると言われていますか。,問題
2,,,"「牛の首」の内容について、正しいものはどれですか。
ア： だれもが知っている有名な話である。
イ： とてもおもしろい笑い話である。
ウ： 内容を知っている人は、ごくわずかである。
エ： 教科書にのっている話である。",問題
3,,," バスの中で先生が話をはじめたとき、子どもたちはどうしましたか。
ア： こわくなったので、やめるようにお願いした。
イ： もっと話してほしいとお願いした。
ウ： みんなでいっしょに歌をうたった。
エ:  静かにメモをとりながら聞いていた。",問題
4,,, 先生が話しおわったとき、子どもたちはどうなっていましたか。,問題
5,,, もし「牛の首」を聞くことになったら、どうすればよいと書かれていますか。,問題
